Name;City;Country;ICAO;;;;
Khoy Airport;Khoy;Iran;OITK;;;;
Tabriz International Airport;Tabriz;Iran;OITT;;;;
Zanjan Airport;Zanjan;Iran;OITZ;;;;
Shahid Sadooghi Airport;Yazd;Iran;OIYY;;;;
Zabol Airport;Zabol;Iran;OIZB;;;;
Konarak Airport;Chah Bahar;Iran;OIZC;;;;
Zahedan International Airport;Zahedan;Iran;OIZH;;;;
Iran Shahr Airport;Iran Shahr;Iran;OIZI;;;;
Saravan Airport;Saravan;Iran;OIZS;;;;
Queen Alia International Airport;Amman;Jordan;OJAI;;;;
Amman-Marka International Airport;Amman;Jordan;OJAM;;;;
Aqaba King Hussein International Airport;Aqaba;Jordan;OJAQ;;;;
Prince Hassan Air Base;Hotel Four;Jordan;OJHF;;;;
Jerusalem Airport;Jerusalem;West Bank;OJJR;;;;
King Hussein Air College;Mafraq;Jordan;OJMF;;;;
Kuwait International Airport;Kuwait;Kuwait;OKBK;;;;
Beirut Rafic Hariri International Airport;Beirut;Lebanon;OLBA;;;;
Rene Mouawad Air Base;Kleiat;Lebanon;OLKA;;;;
Abu Dhabi International Airport;Abu Dhabi;United Arab Emirates;OMAA;;;;
Bateen Airport;Abu Dhabi;United Arab Emirates;OMAD;;;;
Al Hamra Aux Airport;Al Hamra;United Arab Emirates;OMAH;;;;
Jebel Dhana Airport;Jebel Dhana;United Arab Emirates;OMAJ;;;;
Al Dhafra Air Base;Abu Dhabi;United Arab Emirates;OMAM;;;;
Arzanah Airport;Arzana;United Arab Emirates;OMAR;;;;
Das Island Airport;Das Island;United Arab Emirates;OMAS;;;;
Zirku Airport;Zirku;United Arab Emirates;OMAZ;;;;
Dubai International Airport;Dubai;United Arab Emirates;OMDB;;;;
Fujairah International Airport;Fujeirah;United Arab Emirates;OMFJ;;;;
Ras Al Khaimah International Airport;Ras Al Khaimah;United Arab Emirates;OMRK;;;;
Sharjah International Airport;Sharjah;United Arab Emirates;OMSJ;;;;
Khasab Air Base;Khasab;Oman;OOKB;;;;
Masirah Air Base;Masirah;Oman;OOMA;;;;
Muscat International Airport;Muscat;Oman;OOMS;;;;
Salalah Airport;Salalah;Oman;OOSA;;;;
Thumrait Air Base;Thumrait;Oman;OOTH;;;;
Bhagatanwala Airport;Bhagtanwala;Pakistan;OPBG;;;;
Faisalabad International Airport;Faisalabad;Pakistan;OPFA;;;;
Gwadar International Airport;Gwadar;Pakistan;OPGD;;;;
Gilgit Airport;Gilgit;Pakistan;OPGT;;;;
Shahbaz Air Base;Jacobsbad;Pakistan;OPJA;;;;
Jinnah International Airport;Karachi;Pakistan;OPKC;;;;
Alama Iqbal International Airport;Lahore;Pakistan;OPLA;;;;
Walton Airport;Lahore;Pakistan;OPLH;;;;
Mangla Airport;Mangla;Pakistan;OPMA;;;;
Muzaffarabad Airport;Muzaffarabad;Pakistan;OPMF;;;;
Mianwali Air Base;Mianwali;Pakistan;OPMI;;;;
Moenjodaro Airport;Moenjodaro;Pakistan;OPMJ;;;;
Masroor Air Base;Karachi;Pakistan;OPMR;;;;
Multan International Airport;Multan;Pakistan;OPMT;;;;
Shaheed Benazirabad Airport;Nawabshah;Pakistan;OPNH;;;;
Okara Cantonment Airstrip;Okara;Pakistan;OPOK;;;;
Panjgur Airport;Panjgur;Pakistan;OPPG;;;;
Pasni Airport;Pasni;Pakistan;OPPI;;;;
Peshawar International Airport;Peshawar;Pakistan;OPPS;;;;
Qasim Airport;Qasim;Pakistan;OPQS;;;;
Quetta International Airport;Quetta;Pakistan;OPQT;;;;
Shaikh Zaid Airport;Rahim Yar Khan;Pakistan;OPRK;;;;
Benazir Bhutto International Airport;Islamabad;Pakistan;OPRN;;;;
Risalpur Air Base;Risalpur;Pakistan;OPRS;;;;
Rawalakot Airport;Rawala Kot;Pakistan;OPRT;;;;
Sukkur Airport;Sukkur;Pakistan;OPSK;;;;
Saidu Sharif Airport;Saidu Sharif;Pakistan;OPSS;;;;
Sui Airport;Sui;Pakistan;OPSU;;;;
Talhar Airport;Talhar;Pakistan;OPTH;;;;
Wana Airport;Wana;Pakistan;OPWN;;;;
Zhob Airport;Zhob;Pakistan;OPZB;;;;
Basrah International Airport;Basrah;Iraq;ORMM;;;;
Aleppo International Airport;Aleppo;Syria;OSAP;;;;
Damascus International Airport;Damascus;Syria;OSDI;;;;
Deir ez-Zor Air Base;Deire Zor;Syria;OSDZ;;;;
Bassel Al-Assad International Airport;Latakia;Syria;OSLK;;;;
Palmyra Airport;Palmyra;Syria;OSPR;;;;
Doha International Airport;Doha;Qatar;OTBD;;;;
Canton Island Airport;Canton Island;Kiribati;PCIS;;;;
Rota International Airport;Rota;Northern Mariana Islands;PGRO;;;;
Saipan International Airport;Saipan;Northern Mariana Islands;PGSN;;;;
Andersen Air Force Base;Andersen;Guam;PGUA;;;;
Antonio B. Won Pat International Airport;Agana;Guam;PGUM;;;;
Tinian International Airport;West Tinian;Northern Mariana Islands;PGWT;;;;
Marshall Islands International Airport;Majuro;Marshall Islands;PKMJ;;;;
Dyess Army Air Field;Kwajalein;Marshall Islands;PKRO;;;;
Bucholz Army Air Field;Kwajalein;Marshall Islands;PKWA;;;;
Cassidy International Airport;Kiritimati;Kiribati;PLCH;;;;
Henderson Field;Midway;Midway Islands;PMDY;;;;
Chuuk International Airport;Chuuk;Micronesia;PTKK;;;;
Pohnpei International Airport;Pohnpei;Micronesia;PTPN;;;;
Babelthuap Airport;Babelthuap;Palau;PTRO;;;;
Kosrae International Airport;Kosrae;Micronesia;PTSA;;;;
Yap International Airport;Yap;Micronesia;PTYA;;;;
Kinmen Airport;Kinmen;Taiwan;RCBS;;;;
Pingtung South Airport;Pingtung;Taiwan;RCDC;;;;
Longtan Air Base;Longtang;Taiwan;RCDI;;;;
Taitung Airport;Fengnin;Taiwan;RCFN;;;;
Lyudao Airport;Green Island;Taiwan;RCGI;;;;
Kaohsiung International Airport;Kaohsiung;Taiwan;RCKH;;;;
Chiayi Airport;Chiayi;Taiwan;RCKU;;;;
Lanyu Airport;Lanyu;Taiwan;RCLY;;;;
Taichung Ching Chuang Kang Airport;Taichung;Taiwan;RCMQ;;;;
Tainan Airport;Tainan;Taiwan;RCNN;;;;
Hsinchu Air Base;Hsinchu;Taiwan;RCPO;;;;
Makung Airport;Makung;Taiwan;RCQC;;;;
Chihhang Air Base;Taitung;Taiwan;RCQS;;;;
Pingtung North Airport;Pingtung;Taiwan;RCSQ;;;;
Taipei Songshan Airport;Taipei;Taiwan;RCSS;;;;
Taiwan Taoyuan International Airport;Taipei;Taiwan;RCTP;;;;
Wang-an Airport;Wang An;Taiwan;RCWA;;;;
Hualien Airport;Hualien;Taiwan;RCYU;;;;
Narita International Airport;Tokyo;Japan;RJAA;;;;
Matsumoto Airport;Matsumoto;Japan;RJAF;;;;
Hyakuri Airport;Ibaraki;Japan;RJAH;;;;
Minami Torishima Airport;Minami Tori Shima;Japan;RJAM;;;;
Iwo Jima Airport;Iwojima;Japan;RJAW;;;;
Nanki Shirahama Airport;Nanki-shirahama;Japan;RJBD;;;;
Kohnan Airport;Kohnan;Japan;RJBK;;;;
Tokachi-Obihiro Airport;Obihiro;Japan;RJCB;;;;
New Chitose Airport;Sapporo;Japan;RJCC;;;;
Hakodate Airport;Hakodate;Japan;RJCH;;;;
Chitose Air Base;Chitose;Japan;RJCJ;;;;
Memanbetsu Airport;Memanbetsu;Japan;RJCM;;;;
Nakashibetsu Airport;Nakashibetsu;Japan;RJCN;;;;
Tokachi Airport;Tokachi;Japan;RJCT;;;;
Wakkanai Airport;Wakkanai;Japan;RJCW;;;;
Iki Airport;Iki;Japan;RJDB;;;;
Yamaguchi Ube Airport;Yamaguchi;Japan;RJDC;;;;
Tsushima Airport;Tsushima;Japan;RJDT;;;;
Monbetsu Airport;Monbetsu;Japan;RJEB;;;;
Asahikawa Airport;Asahikawa;Japan;RJEC;;;;
Okushiri Airport;Okushiri;Japan;RJEO;;;;
Rishiri Airport;Rishiri Island;Japan;RJER;;;;
Ashiya Airport;Ashiya;Japan;RJFA;;;;
Yakushima Airport;Yakushima;Japan;RJFC;;;;
Fukue Airport;Fukue;Japan;RJFE;;;;
Fukuoka Airport;Fukuoka;Japan;RJFF;;;;
New Tanegashima Airport;Tanegashima;Japan;RJFG;;;;
Kagoshima Airport;Kagoshima;Japan;RJFK;;;;
Miyazaki Airport;Miyazaki;Japan;RJFM;;;;
Nyutabaru Airport;Nyutabaru;Japan;RJFN;;;;
Oita Airport;Oita;Japan;RJFO;;;;
Kitakyūshū Airport;Kitakyushu;Japan;RJFR;;;;
Kumamoto Airport;Kumamoto;Japan;RJFT;;;;
Nagasaki Airport;Nagasaki;Japan;RJFU;;;;
Kanoya Airport;Kanoya;Japan;RJFY;;;;
Tsuiki Air Field;Tsuiki;Japan;RJFZ;;;;
Amami Airport;Amami;Japan;RJKA;;;;
Okierabu Airport;Okierabu;Japan;RJKB;;;;
Tokunoshima Airport;Tokunoshima;Japan;RJKN;;;;
Fukui Airport;Fukui;Japan;RJNF;;;;
Gifu Airport;Gifu;Japan;RJNG;;;;
Hamamatsu Airport;Hamamatsu;Japan;RJNH;;;;
Komatsu Airport;Kanazawa;Japan;RJNK;;;;
Oki Airport;Oki Island;Japan;RJNO;;;;
Toyama Airport;Toyama;Japan;RJNT;;;;
Shizuhama Airport;Yaizu;Japan;RJNY;;;;
Hiroshima Airport;Hiroshima;Japan;RJOA;;;;
Okayama Airport;Okayama;Japan;RJOB;;;;
Izumo Airport;Izumo;Japan;RJOC;;;;
Hofu Airport;Hofu;Japan;RJOF;;;;
Miho Yonago Airport;Miho;Japan;RJOH;;;;
Kōchi Ryōma Airport;Kochi;Japan;RJOK;;;;
Matsuyama Airport;Matsuyama;Japan;RJOM;;;;
Osaka International Airport;Osaka;Japan;RJOO;;;;
Tottori Airport;Tottori;Japan;RJOR;;;;
Tokushima Airport/JMSDF Air Base;Tokushima;Japan;RJOS;;;;
Takamatsu Airport;Takamatsu;Japan;RJOT;;;;
Yao Airport;Osaka;Japan;RJOY;;;;
Ozuki Airport;Ozuki;Japan;RJOZ;;;;
Aomori Airport;Aomori;Japan;RJSA;;;;
Yamagata Airport;Yamagata;Japan;RJSC;;;;
Sado Airport;Sado;Japan;RJSD;;;;
Hachinohe Airport;Hachinoe;Japan;RJSH;;;;
Hanamaki Airport;Hanamaki;Japan;RJSI;;;;
Akita Airport;Akita;Japan;RJSK;;;;
Misawa Air Base;Misawa;Japan;RJSM;;;;
Sendai Airport;Sendai;Japan;RJSS;;;;
Matsushima Air Base;Matsushima;Japan;RJST;;;;
Atsugi Naval Air Facility;Atsugi;Japan;RJTA;;;;
Tateyama Airport;Tateyama;Japan;RJTE;;;;
Hachijojima Airport;Hachijojima;Japan;RJTH;;;;
Iruma Air Base;Iruma;Japan;RJTJ;;;;
Kisarazu Airport;Kisarazu;Japan;RJTK;;;;
Shimofusa Airport;Shimofusa;Japan;RJTL;;;;
Oshima Airport;Oshima;Japan;RJTO;;;;
Kastner Army Heliport;Zama;Japan;RJTR;;;;
Tokyo Haneda International Airport;Tokyo;Japan;RJTT;;;;
Yokota Air Base;Yokota;Japan;RJTY;;;;
Gwangju Airport;Kwangju;South Korea;RKJJ;;;;
Jeon Ju Airport (G-703);Jhunju;South Korea;RKJU;;;;
Yeosu Airport;Yeosu;South Korea;RKJY;;;;
Sokcho Airport;Sokch'o;South Korea;RKND;;;;
Gangneung Airport (K-18);Kangnung;South Korea;RKNN;;;;
Jeju International Airport;Cheju;South Korea;RKPC;;;;
Jinhae Airbase/Airport (G-813/K-10);Chinhae;South Korea;RKPE;;;;
Gimhae International Airport;Busan;South Korea;RKPK;;;;
Ulsan Airport;Ulsan;South Korea;RKPU;;;;
A 511 Airport;Pyongtaek;South Korea;RKSG;;;;
Seoul Air Base (K-16);Seoul East;South Korea;RKSM;;;;
Osan Air Base;Osan;South Korea;RKSO;;;;
Gimpo International Airport;Seoul;South Korea;RKSS;;;;
Suwon Airport;Suwon;South Korea;RKSW;;;;
Pohang Airport (G-815/K-3);Pohang;South Korea;RKTH;;;;
Daegu Airport;Taegu;South Korea;RKTN;;;;
Yecheon Airbase;Yechon;South Korea;RKTY;;;;
Naha Airport;Okinawa;Japan;ROAH;;;;
Ie Shima Auxiliary Air Base;Iejima;Japan;RODE;;;;
Kadena Air Base;Kadena;Japan;RODN;;;;
New Ishigaki Airport;Ishigaki;Japan;ROIG;;;;
Kumejima Airport;Kumejima;Japan;ROKJ;;;;
Minami-Daito Airport;Minami Daito;Japan;ROMD;;;;
Miyako Airport;Miyako;Japan;ROMY;;;;
Kitadaito Airport;Kitadaito;Japan;RORK;;;;
Shimojishima Airport;Shimojishima;Japan;RORS;;;;
Tarama Airport;Tarama;Japan;RORT;;;;
Yoron Airport;Yoron;Japan;RORY;;;;
Futenma Marine Corps Air Station;Futema;Japan;ROTM;;;;
Yonaguni Airport;Yonaguni Jima;Japan;ROYN;;;;
Ninoy Aquino International Airport;Manila;Philippines;RPLL;;;;
Awang Airport;Cotabato;Philippines;RPMC;;;;
Cagayan De Oro Airport;Ladag;Philippines;RPML;;;;
Pagadian Airport;Pagadian;Philippines;RPMP;;;;
General Santos International Airport;Romblon;Philippines;RPMR;;;;
Zamboanga International Airport;Zamboanga;Philippines;RPMZ;;;;
Loakan Airport;Baguio;Philippines;RPUB;;;;
Daet Airport;Daet;Philippines;RPUD;;;;
Basa Air Base;Floridablanca;Philippines;RPUF;;;;
Lingayen Airport;Lingayen;Philippines;RPUG;;;;
San Jose Airport;San Jose;Philippines;RPUH;;;;
Fernando Air Base;Lipa;Philippines;RPUL;;;;
Mamburao Airport;Mamburao;Philippines;RPUM;;;;
Vigan Airport;Vigan;Philippines;RPUQ;;;;
Dr.Juan C. Angara Airport;Baler;Philippines;RPUR;;;;
Bagabag Airport;Bagabag;Philippines;RPUZ;;;;
Daniel Z. Romualdez Airport;Tacloban;Philippines;RPVA;;;;
Bacolod-Silay Airport;Bacolod;Philippines;RPVB;;;;
Sibulan Airport;Dumaguete;Philippines;RPVD;;;;
Godofredo P. Ramos Airport;Caticlan;Philippines;RPVE;;;;
Guiuan Airport;Guiuan;Philippines;RPVG;;;;
Iloilo International Airport;Iloilo;Philippines;RPVI;;;;
Kalibo International Airport;Kalibo;Philippines;RPVK;;;;
Puerto Princesa Airport;Puerto Princesa;Philippines;RPVP;;;;
Evelio Javier Airport;San Jose;Philippines;RPVS;;;;
Comodoro Pierrestegui Airport;Concordia;Argentina;SAAC;;;;
Gualeguaychu Airport;Gualeguaychu;Argentina;SAAG;;;;
Junin Airport;Junin;Argentina;SAAJ;;;;
General Urquiza Airport;Parana;Argentina;SAAP;;;;
Islas Malvinas Airport;Rosario;Argentina;SAAR;;;;
Sauce Viejo Airport;Santa Fe;Argentina;SAAV;;;;
Jorge Newbery Airpark;Buenos Aires;Argentina;SABE;;;;
Ingeniero Ambrosio Taravella Airport;Cordoba;Argentina;SACO;;;;
Chamical Airport;Gobernador Gordillo;Argentina;SACT;;;;
San Fernando Airport;San Fernando;Argentina;SADF;;;;
Mariano Moreno Airport;Jose C. Paz;Argentina;SADJ;;;;
La Plata Airport;La Plata;Argentina;SADL;;;;
Moron Airport;Moron;Argentina;SADM;;;;
El Palomar Airport;El Palomar;Argentina;SADP;;;;
Chos Malal Airport;Chosmadal;Argentina;SAHC;;;;
Dr. Arturo H. Illia Airport;Fuerte Gral Roca;Argentina;SAHR;;;;
El Plumerillo Airport;Mendoza;Argentina;SAME;;;;
Comodoro D.R. Salomón Airport;Malargue;Argentina;SAMM;;;;
Suboficial Ay Santiago Germano Airport;San Rafael;Argentina;SAMR;;;;
Catamarca Airport;Catamarca;Argentina;SANC;;;;
Vicecomodoro Angel D. La Paz Aragonés Airport;Santiago Del Estero;Argentina;SANE;;;;
Tinogasta Airport;Tinogasta;Argentina;SANI;;;;
Capitan V A Almonacid Airport;La Rioja;Argentina;SANL;;;;
Chilecito Airport;Chilecito;Argentina;SANO;;;;
Teniente Benjamin Matienzo Airport;Tucuman;Argentina;SANT;;;;
Domingo Faustino Sarmiento Airport;San Juan;Argentina;SANU;;;;
Area De Material Airport;Rio Cuarto;Argentina;SAOC;;;;
Villa Dolores Airport;Villa Dolores;Argentina;SAOD;;;;
La Quiaca Airport;Laboulaye;Argentina;SAOL;;;;
Marcos Juarez Airport;Marcos Juarez;Argentina;SAOM;;;;
Villa Reynolds Airport;Villa Reynolds;Argentina;SAOR;;;;
Brigadier Mayor D Cesar Raul Ojeda Airport;San Luis;Argentina;SAOU;;;;
Corrientes Airport;Corrientes;Argentina;SARC;;;;
Resistencia International Airport;Resistencia;Argentina;SARE;;;;
Formosa Airport;Formosa;Argentina;SARF;;;;
Cataratas Del Iguazú International Airport;Iguazu Falls;Argentina;SARI;;;;
Paso De Los Libres Airport;Paso De Los Libres;Argentina;SARL;;;;
Monte Caseros Airport;Monte Caseros;Argentina;SARM;;;;
Libertador Gral D Jose De San Martin Airport;Posadas;Argentina;SARP;;;;
Termal Airport;Presidencia R.s.pena;Argentina;SARS;;;;
Martin Miguel De Guemes International Airport;Salta;Argentina;SASA;;;;
Gobernador Horacio Guzman International Airport;Jujuy;Argentina;SASJ;;;;
Orán Airport;Oran;Argentina;SASO;;;;
Laboulaye Airport;La Quiaca;Argentina;SASQ;;;;
El Dorado Airport;El Dorado;Argentina;SATD;;;;
Goya Airport;Goya;Argentina;SATG;;;;
Oberá Airport;Obera;Argentina;SATO;;;;
Reconquista Airport;Reconquista;Argentina;SATR;;;;
Curuzu Cuatia Airport;Curuzu Cuatia;Argentina;SATU;;;;
El Bolson Airport;El Bolson;Argentina;SAVB;;;;
General E. Mosconi Airport;Comodoro Rivadavia;Argentina;SAVC;;;;
Brigadier Antonio Parodi Airport;Esquel;Argentina;SAVE;;;;
Almirante Marco Andres Zar Airport;Trelew;Argentina;SAVT;;;;
Gobernador Castello Airport;Viedma;Argentina;SAVV;;;;
El Tehuelche Airport;Puerto Madryn;Argentina;SAVY;;;;
Marambio Base;Marambio Base;Antarctica;SAWB;;;;
Puerto Deseado Airport;Puerto Deseado;Argentina;SAWD;;;;
Hermes Quijada International Airport;Rio Grande;Argentina;SAWE;;;;
Piloto Civil N. Fernández Airport;Rio Gallegos;Argentina;SAWG;;;;
Malvinas Argentinas Airport;Ushuaia;Argentina;SAWH;;;;
Capitan D Daniel Vazquez Airport;San Julian;Argentina;SAWJ;;;;
Perito Moreno Airport;Perito Moreno;Argentina;SAWP;;;;
Santa Cruz Airport;Santa Cruz;Argentina;SAWU;;;;
Comandante Espora Airport;Bahia Blanca;Argentina;SAZB;;;;
Brigadier D.H.E. Ruiz Airport;Colonel Suarez;Argentina;SAZC;;;;
Olavarria Airport;Olavarria;Argentina;SAZF;;;;
General Pico Airport;General Pico;Argentina;SAZG;;;;
Tres Arroyos Airport;Tres Arroyos;Argentina;SAZH;;;;
Bolivar Airport;Bolivar;Argentina;SAZI;;;;
Ástor Piazzola International Airport;Mar Del Plata;Argentina;SAZM;;;;
Presidente Peron Airport;Neuquen;Argentina;SAZN;;;;
Comodoro Pedro Zanni Airport;Pehuajo;Argentina;SAZP;;;;
Santa Rosa Airport;Santa Rosa;Argentina;SAZR;;;;
San Carlos De Bariloche Airport;San Carlos De Bariloche;Argentina;SAZS;;;;
Héroes De Malvinas Airport;Tandil;Argentina;SAZT;;;;
Villa Gesell Airport;Villa Gesell;Argentina;SAZV;;;;
Cutral-Co Airport;Cutralco;Argentina;SAZW;;;;
Aviador C. Campos Airport;San Martin Des Andes;Argentina;SAZY;;;;
Conceição do Araguaia Airport;Conceicao Do Araguaia;Brazil;SBAA;;;;
Campo Délio Jardim de Mattos Airport;Rio De Janeiro;Brazil;SBAF;;;;
Amapá Airport;Amapa;Brazil;SBAM;;;;
Araraquara Airport;Araracuara;Brazil;SBAQ;;;;
Santa Maria Airport;Aracaju;Brazil;SBAR;;;;
Piloto Osvaldo Marques Dias Airport;Alta Floresta;Brazil;SBAT;;;;
Araçatuba Airport;Aracatuba;Brazil;SBAU;;;;
Val de Cans/Júlio Cezar Ribeiro International Airport;Belem;Brazil;SBBE;;;;
Comandante Gustavo Kraemer Airport;Bage;Brazil;SBBG;;;;
Pampulha - Carlos Drummond de Andrade Airport;Belo Horizonte;Brazil;SBBH;;;;
Bacacheri Airport;Curitiba;Brazil;SBBI;;;;
Major Brigadeiro Doorgal Borges Airport;Barbacena;Brazil;SBBQ;;;;
Presidente Juscelino Kubistschek International Airport;Brasilia;Brazil;SBBR;;;;
Bauru Airport;Bauru;Brazil;SBBU;;;;
Atlas Brasil Cantanhede Airport;Boa Vista;Brazil;SBBV;;;;
Barra do Garças Airport;Barra Do Garcas;Brazil;SBBW;;;;
Cascavel Airport;Cascavel;Brazil;SBCA;;;;
Cachimbo Airport;Itaituba;Brazil;SBCC;;;;
Tancredo Neves International Airport;Belo Horizonte;Brazil;SBCF;;;;
Campo Grande Airport;Campo Grande;Brazil;SBCG;;;;
Serafin Enoss Bertaso Airport;Chapeco;Brazil;SBCH;;;;
Brig. Lysias Augusto Rodrigues Airport;Carolina;Brazil;SBCI;;;;
Diomício Freitas Airport;Criciuma;Brazil;SBCM;;;;
Canoas Air Force Base;Porto Alegre;Brazil;SBCO;;;;
Bartolomeu Lisandro Airport;Campos;Brazil;SBCP;;;;
Corumbá International Airport;Corumba;Brazil;SBCR;;;;
Afonso Pena Airport;Curitiba;Brazil;SBCT;;;;
Caravelas Airport;Caravelas;Brazil;SBCV;;;;
Hugo Cantergiani Regional Airport;Caxias Do Sul;Brazil;SBCX;;;;
Marechal Rondon Airport;Cuiaba;Brazil;SBCY;;;;
Cruzeiro do Sul Airport;Cruzeiro do Sul;Brazil;SBCZ;;;;
Presidente Prudente Airport;President Prudente;Brazil;SBDN;;;;
Eduardo Gomes International Airport;Manaus;Brazil;SBEG;;;;
Jacareacanga Airport;Jacare-acanga;Brazil;SBEK;;;;
São Pedro da Aldeia Airport;Sao Pedro Da Aldeia;Brazil;SBES;;;;
Cataratas International Airport;Foz Do Iguacu;Brazil;SBFI;;;;
Hercílio Luz International Airport;Florianopolis;Brazil;SBFL;;;;
Fernando de Noronha Airport;Fernando Do Noronha;Brazil;SBFN;;;;
Furnas Airport;Alpinopolis;Brazil;SBFU;;;;
Pinto Martins International Airport;Fortaleza;Brazil;SBFZ;;;;
Rio Galeão – Tom Jobim International Airport;Rio De Janeiro;Brazil;SBGL;;;;
Guajará-Mirim Airport;Guajara-mirim;Brazil;SBGM;;;;
Santa Genoveva Airport;Goiania;Brazil;SBGO;;;;
EMBRAER - Unidade Gavião Peixoto Airport;Macae;Brazil;SBGP;;;;
Guarulhos - Governador André Franco Montoro International Airport;Sao Paulo;Brazil;SBGR;;;;
Guaratinguetá Airport;Guaratingueta;Brazil;SBGW;;;;
Altamira Airport;Altamira;Brazil;SBHT;;;;
Itacoatiara Airport;Itaituba;Brazil;SBIC;;;;
Itaituba Airport;Itaituba;Brazil;SBIH;;;;
Bahia - Jorge Amado Airport;Ilheus;Brazil;SBIL;;;;
Usiminas Airport;Ipatinga;Brazil;SBIP;;;;
Francisco Vilela do Amaral Airport;Itumbiara;Brazil;SBIT;;;;
Prefeito Renato Moreira Airport;Imperatriz;Brazil;SBIZ;;;;
Belém/Brigadeiro Protásio de Oliveira Airport;Belem;Brazil;SBJC;;;;
Francisco de Assis Airport;Juiz De Fora;Brazil;SBJF;;;;
Presidente Castro Pinto International Airport;Joao Pessoa;Brazil;SBJP;;;;
Lauro Carneiro de Loyola Airport;Joinville;Brazil;SBJV;;;;
Presidente João Suassuna Airport;Campina Grande;Brazil;SBKG;;;;
Viracopos International Airport;Campinas;Brazil;SBKP;;;;
Lages Airport;Lajes;Brazil;SBLJ;;;;
Lins Airport;Lins;Brazil;SBLN;;;;
Governador José Richa Airport;Londrina;Brazil;SBLO;;;;
Bom Jesus da Lapa Airport;Bom Jesus Da Lapa;Brazil;SBLP;;;;
Lagoa Santa Airport;Lagoa Santa;Brazil;SBLS;;;;
João Correa da Rocha Airport;Maraba;Brazil;SBMA;;;;
Monte Dourado Airport;Almeirim;Brazil;SBMD;;;;
Regional de Maringá - Sílvio Nane Junior Airport;Maringa;Brazil;SBMG;;;;
Mário Ribeiro Airport;Montes Claros;Brazil;SBMK;;;;
Ponta Pelada Airport;Manaus;Brazil;SBMN;;;;
Zumbi dos Palmares Airport;Maceio;Brazil;SBMO;;;;
Alberto Alcolumbre Airport;Macapa;Brazil;SBMQ;;;;
Dix-Sept Rosado Airport;Mocord;Brazil;SBMS;;;;
Campo de Marte Airport;Sao Paulo;Brazil;SBMT;;;;
Manicoré Airport;Manicore;Brazil;SBMY;;;;
Ministro Victor Konder International Airport;Navegantes;Brazil;SBNF;;;;
Santo Ângelo Airport;Santo Angelo;Brazil;SBNM;;;;
Governador Aluízio Alves International Airport;Natal;Brazil;SBSG;;;;
Oiapoque Airport;Oioiapoque;Brazil;SBOI;;;;
Salgado Filho Airport;Porto Alegre;Brazil;SBPA;;;;
Prefeito Doutor João Silva Filho Airport;Parnaiba;Brazil;SBPB;;;;
Poços de Caldas - Embaixador Walther Moreira Salles Airport;Pocos De Caldas;Brazil;SBPC;;;;
Lauro Kurtz Airport;Passo Fundo;Brazil;SBPF;;;;
João Simões Lopes Neto International Airport;Pelotas;Brazil;SBPK;;;;
Senador Nilo Coelho Airport;Petrolina;Brazil;SBPL;;;;
Porto Nacional Airport;Porto Nacional;Brazil;SBPN;;;;
Ponta Porã Airport;Ponta Pora;Brazil;SBPP;;;;
Governador Jorge Teixeira de Oliveira Airport;Porto Velho;Brazil;SBPV;;;;
Plácido de Castro Airport;Rio Branco;Brazil;SBRB;;;;
Guararapes - Gilberto Freyre International Airport;Recife;Brazil;SBRF;;;;
Santos Dumont Airport;Rio De Janeiro;Brazil;SBRJ;;;;
Leite Lopes Airport;Ribeirao Preto;Brazil;SBRP;;;;
Santa Cruz Air Force Base;Rio De Janeiro;Brazil;SBSC;;;;
Professor Urbano Ernesto Stumpf Airport;Sao Jose Dos Campos;Brazil;SBSJ;;;;
Marechal Cunha Machado International Airport;Sao Luis;Brazil;SBSL;;;;
Congonhas Airport;Sao Paulo;Brazil;SBSP;;;;
Prof. Eribelto Manoel Reino State Airport;Sao Jose Do Rio Preto;Brazil;SBSR;;;;
Base Aérea de Santos Airport;Santos;Brazil;SBST;;;;
Deputado Luiz Eduardo Magalhães International Airport;Salvador;Brazil;SBSV;;;;
Trombetas Airport;Oriximina;Brazil;SBTB;;;;
Senador Petrônio Portela Airport;Teresina;Brazil;SBTE;;;;
Tefé Airport;Tefe;Brazil;SBTF;;;;
Tarauacá Airport;Tarauaca;Brazil;SBTK;;;;
Telêmaco Borba Airport;Telemaco Borba;Brazil;SBTL;;;;
Tiriós Airport;Obidos Tirios;Brazil;SBTS;;;;
Tabatinga Airport;Tabatinga;Brazil;SBTT;;;;
Tucuruí Airport;Tucurui;Brazil;SBTU;;;;
São Gabriel da Cachoeira Airport;Sao Gabriel;Brazil;SBUA;;;;
Paulo Afonso Airport;Paulo Alfonso;Brazil;SBUF;;;;
Rubem Berta Airport;Uruguaiana;Brazil;SBUG;;;;
Ten. Cel. Aviador César Bombonato Airport;Uberlandia;Brazil;SBUL;;;;
Mário de Almeida Franco Airport;Uberaba;Brazil;SBUR;;;;
Major Brigadeiro Trompowsky Airport;Varginha;Brazil;SBVG;;;;
Brigadeiro Camarão Airport;Vilhena;Brazil;SBVH;;;;
Eurico de Aguiar Salles Airport;Vitoria;Brazil;SBVT;;;;
Iauaretê Airport;Iauarete;Brazil;SBYA;;;;
Campo Fontenelle Airport;Piracununga;Brazil;SBYS;;;;
Chacalluta Airport;Arica;Chile;SCAR;;;;
