Name;City;Country;ICAO;;;;
Peace River Airport;Peace River;Canada;CYPE;;;;
Southport Airport;Portage-la-prairie;Canada;CYPG;;;;
Pitt Meadows Airport;Pitt Meadows;Canada;CYPK;;;;
Pickle Lake Airport;Pickle Lake;Canada;CYPL;;;;
Port Menier Airport;Port Menier;Canada;CYPN;;;;
Peterborough Airport;Peterborough;Canada;CYPQ;;;;
Prince Rupert Airport;Prince Pupert;Canada;CYPR;;;;
Fort Chipewyan Airport;Fort Chipewyan;Canada;CYPY;;;;
Muskoka Airport;Muskoka;Canada;CYQA;;;;
Quebec Jean Lesage International Airport;Quebec;Canada;CYQB;;;;
Red Deer Regional Airport;Red Deer Industrial;Canada;CYQF;;;;
Windsor Airport;Windsor;Canada;CYQG;;;;
Watson Lake Airport;Watson Lake;Canada;CYQH;;;;
Kenora Airport;Kenora;Canada;CYQK;;;;
Lethbridge County Airport;Lethbridge;Canada;CYQL;;;;
Greater Moncton International Airport;Moncton;Canada;CYQM;;;;
Comox Airport;Comox;Canada;CYQQ;;;;
Regina International Airport;Regina;Canada;CYQR;;;;
Thunder Bay Airport;Thunder Bay;Canada;CYQT;;;;
Grande Prairie Airport;Grande Prairie;Canada;CYQU;;;;
Yorkton Municipal Airport;Yorkton;Canada;CYQV;;;;
North Battleford Airport;North Battleford;Canada;CYQW;;;;
Gander International Airport;Gander;Canada;CYQX;;;;
Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada;CYQY;;;;
Quesnel Airport;Quesnel;Canada;CYQZ;;;;
Resolute Bay Airport;Resolute;Canada;CYRB;;;;
Rivière-du-Loup Airport;Riviere Du Loup;Canada;CYRI;;;;
Roberval Airport;Roberval;Canada;CYRJ;;;;
Rocky Mountain House Airport;Rocky Mountain House;Canada;CYRM;;;;
Rankin Inlet Airport;Rankin Inlet;Canada;CYRT;;;;
Sudbury Airport;Sudbury;Canada;CYSB;;;;
Sherbrooke Airport;Sherbrooke;Canada;CYSC;;;;
Saint John Airport;St. John;Canada;CYSJ;;;;
Fort Smith Airport;Fort Smith;Canada;CYSM;;;;
Nanisivik Airport;Nanisivik;Canada;CYSR;;;;
Summerside Airport;Summerside;Canada;CYSU;;;;
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada;CYSY;;;;
Cape Dorset Airport;Cape Dorset;Canada;CYTE;;;;
Thompson Airport;Thompson;Canada;CYTH;;;;
CFB Trenton;Trenton;Canada;CYTR;;;;
Timmins/Victor M. Power;Timmins;Canada;CYTS;;;;
Billy Bishop Toronto City Centre Airport;Toronto;Canada;CYTZ;;;;
Tuktoyaktuk Airport;Tuktoyaktuk;Canada;CYUB;;;;
Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada;CYUL;;;;
Repulse Bay Airport;Repulse Bay;Canada;CYUT;;;;
Hall Beach Airport;Hall Beach;Canada;CYUX;;;;
Rouyn Noranda Airport;Rouyn;Canada;CYUY;;;;
La Ronge Airport;La Ronge;Canada;CYVC;;;;
Vermilion Airport;Vermillion;Canada;CYVG;;;;
Qikiqtarjuaq Airport;Broughton Island;Canada;CYVM;;;;
Val-d'Or Airport;Val D'or;Canada;CYVO;;;;
Kuujjuaq Airport;Quujjuaq;Canada;CYVP;;;;
Norman Wells Airport;Norman Wells;Canada;CYVQ;;;;
Vancouver International Airport;Vancouver;Canada;CYVR;;;;
Buffalo Narrows Airport;Buffalo Narrows;Canada;CYVT;;;;
Wiarton Airport;Wiarton;Canada;CYVV;;;;
Petawawa Airport;Petawawa;Canada;CYWA;;;;
Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada;CYWG;;;;
Wabush Airport;Wabush;Canada;CYWK;;;;
Williams Lake Airport;Williams Lake;Canada;CYWL;;;;
Wrigley Airport;Wrigley;Canada;CYWY;;;;
Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada;CYXC;;;;
Edmonton City Centre (Blatchford Field) Airport;Edmonton;Canada;CYXD;;;;
Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada;CYXE;;;;
Medicine Hat Airport;Medicine Hat;Canada;CYXH;;;;
Fort St John Airport;Fort Saint John;Canada;CYXJ;;;;
Sioux Lookout Airport;Sioux Lookout;Canada;CYXL;;;;
Pangnirtung Airport;Pangnirtung;Canada;CYXP;;;;
Earlton (Timiskaming Regional) Airport;Earlton;Canada;CYXR;;;;
Prince George Airport;Prince George;Canada;CYXS;;;;
Northwest Regional Airport Terrace-Kitimat;Terrace;Canada;CYXT;;;;
London Airport;London;Canada;CYXU;;;;
Abbotsford Airport;Abbotsford;Canada;CYXX;;;;
Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada;CYXY;;;;
North Bay Jack Garland Airport;North Bay;Canada;CYYB;;;;
Calgary International Airport;Calgary;Canada;CYYC;;;;
Smithers Airport;Smithers;Canada;CYYD;;;;
Fort Nelson Airport;Fort Nelson;Canada;CYYE;;;;
Penticton Airport;Penticton;Canada;CYYF;;;;
Charlottetown Airport;Charlottetown;Canada;CYYG;;;;
Taloyoak Airport;Spence Bay;Canada;CYYH;;;;
Victoria International Airport;Victoria;Canada;CYYJ;;;;
Lynn Lake Airport;Lynn Lake;Canada;CYYL;;;;
Swift Current Airport;Swift Current;Canada;CYYN;;;;
Churchill Airport;Churchill;Canada;CYYQ;;;;
Goose Bay Airport;Goose Bay;Canada;CYYR;;;;
St. John's International Airport;St. John's;Canada;CYYT;;;;
Kapuskasing Airport;Kapuskasing;Canada;CYYU;;;;
Armstrong Airport;Armstrong;Canada;CYYW;;;;
Mont Joli Airport;Mont Joli;Canada;CYYY;;;;
Lester B. Pearson International Airport;Toronto;Canada;CYYZ;;;;
Downsview Airport;Toronto;Canada;CYZD;;;;
Gore Bay Manitoulin Airport;Gore Bay;Canada;CYZE;;;;
Yellowknife Airport;Yellowknife;Canada;CYZF;;;;
Slave Lake Airport;Slave Lake;Canada;CYZH;;;;
Sandspit Airport;Sandspit;Canada;CYZP;;;;
Chris Hadfield Airport;Sarnia;Canada;CYZR;;;;
Port Hardy Airport;Port Hardy;Canada;CYZT;;;;
Whitecourt Airport;Whitecourt;Canada;CYZU;;;;
Sept-Îles Airport;Sept-iles;Canada;CYZV;;;;
Teslin Airport;Teslin;Canada;CYZW;;;;
CFB Greenwood;Greenwood;Canada;CYZX;;;;
Faro Airport;Faro;Canada;CZFA;;;;
Fort Mcpherson Airport;Fort Mcpherson;Canada;CZFM;;;;
Blida Airport;Blida;Algeria;DAAB;;;;
Bou Saada Airport;Bou Saada;Algeria;DAAD;;;;
Soummam Airport;Bejaja;Algeria;DAAE;;;;
Houari Boumediene Airport;Algier;Algeria;DAAG;;;;
Djanet Inedbirene Airport;Djanet;Algeria;DAAJ;;;;
Boufarik Airport;Boufarik;Algeria;DAAK;;;;
Reggane Airport;Reggan;Algeria;DAAN;;;;
Illizi Takhamalt Airport;Illizi;Algeria;DAAP;;;;
Ain Oussera Airport;Ain Oussera;Algeria;DAAQ;;;;
Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria;DAAT;;;;
Jijel Ferhat Abbas Airport;Jijel;Algeria;DAAV;;;;
Mecheria Airport;Mecheria;Algeria;DAAY;;;;
Relizane Airport;Relizane;Algeria;DAAZ;;;;
Rabah Bitat Airport;Annaba;Algeria;DABB;;;;
Mohamed Boudiaf International Airport;Constantine;Algeria;DABC;;;;
Cheikh Larbi Tébessi Airport;Tebessa;Algeria;DABS;;;;
Hassi R'Mel Airport;Tilrempt;Algeria;DAFH;;;;
Bou Chekif Airport;Tiaret;Algeria;DAOB;;;;
Bou Sfer Airport;Bou Sfer;Algeria;DAOE;;;;
Tindouf Airport;Tindouf;Algeria;DAOF;;;;
Ech Cheliff Airport;Ech-cheliff;Algeria;DAOI;;;;
Tafaraoui Airport;Oran;Algeria;DAOL;;;;
Zenata – Messali El Hadj Airport;Tlemcen;Algeria;DAON;;;;
Es Senia Airport;Oran;Algeria;DAOO;;;;
Sidi Bel Abbes Airport;Sidi Bel Abbes;Algeria;DAOS;;;;
Ghriss Airport;Ghriss;Algeria;DAOV;;;;
Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria;DAUA;;;;
Biskra Airport;Biskra;Algeria;DAUB;;;;
El Golea Airport;El Golea;Algeria;DAUE;;;;
Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria;DAUG;;;;
Oued Irara Airport;Hassi Messaoud;Algeria;DAUH;;;;
In Salah Airport;In Salah;Algeria;DAUI;;;;
Touggourt Sidi Madhi Airport;Touggourt;Algeria;DAUK;;;;
Laghouat Airport;Laghouat;Algeria;DAUL;;;;
Timimoun Airport;Timimoun;Algeria;DAUT;;;;
Ain el Beida Airport;Ouargla;Algeria;DAUU;;;;
In Aménas Airport;Zarzaitine;Algeria;DAUZ;;;;
Cadjehoun Airport;Cotonou;Benin;DBBB;;;;
Ouagadougou Airport;Ouagadougou;Burkina Faso;DFFD;;;;
Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso;DFOO;;;;
Kotoka International Airport;Accra;Ghana;DGAA;;;;
Tamale Airport;Tamale;Ghana;DGLE;;;;
Wa Airport;Wa;Ghana;DGLW;;;;
Sunyani Airport;Sunyani;Ghana;DGSN;;;;
Takoradi Airport;Takoradi;Ghana;DGTK;;;;
Port Bouet Airport;Abidjan;Cote d'Ivoire;DIAP;;;;
Bouaké Airport;Bouake;Cote d'Ivoire;DIBK;;;;
Daloa Airport;Daloa;Cote d'Ivoire;DIDL;;;;
Korhogo Airport;Korhogo;Cote d'Ivoire;DIKO;;;;
Man Airport;Man;Cote d'Ivoire;DIMN;;;;
San Pedro Airport;San Pedro;Cote d'Ivoire;DISP;;;;
Yamoussoukro Airport;Yamoussoukro;Cote d'Ivoire;DIYO;;;;
Nnamdi Azikiwe International Airport;Abuja;Nigeria;DNAA;;;;
Akure Airport;Akure;Nigeria;DNAK;;;;
Benin Airport;Benin;Nigeria;DNBE;;;;
Margaret Ekpo International Airport;Calabar;Nigeria;DNCA;;;;
Akanu Ibiam International Airport;Enugu;Nigeria;DNEN;;;;
Gusau Airport;Gusau;Nigeria;DNGU;;;;
Ibadan Airport;Ibadan;Nigeria;DNIB;;;;
Ilorin International Airport;Ilorin;Nigeria;DNIL;;;;
Yakubu Gowon Airport;Jos;Nigeria;DNJO;;;;
Kaduna Airport;Kaduna;Nigeria;DNKA;;;;
Mallam Aminu International Airport;Kano;Nigeria;DNKN;;;;
Maiduguri International Airport;Maiduguri;Nigeria;DNMA;;;;
Makurdi Airport;Makurdi;Nigeria;DNMK;;;;
Murtala Muhammed International Airport;Lagos;Nigeria;DNMM;;;;
Minna Airport;Minna;Nigeria;DNMN;;;;
Port Harcourt International Airport;Port Hartcourt;Nigeria;DNPO;;;;
Sadiq Abubakar III International Airport;Sokoto;Nigeria;DNSO;;;;
Yola Airport;Yola;Nigeria;DNYO;;;;
Zaria Airport;Zaria;Nigeria;DNZA;;;;
Maradi Airport;Maradi;Niger;DRRM;;;;
Diori Hamani International Airport;Niamey;Niger;DRRN;;;;
Tahoua Airport;Tahoua;Niger;DRRT;;;;
Mano Dayak International Airport;Agadez;Niger;DRZA;;;;
Dirkou Airport;Dirkou;Niger;DRZD;;;;
Diffa Airport;Diffa;Niger;DRZF;;;;
Zinder Airport;Zinder;Niger;DRZR;;;;
Monastir Habib Bourguiba International Airport;Monastir;Tunisia;DTMB;;;;
Tunis Carthage International Airport;Tunis;Tunisia;DTTA;;;;
Sidi Ahmed Air Base;Bizerte;Tunisia;DTTB;;;;
Remada Air Base;Remada;Tunisia;DTTD;;;;
Gafsa Ksar International Airport;Gafsa;Tunisia;DTTF;;;;
Gabès Matmata International Airport;Gabes;Tunisia;DTTG;;;;
Borj El Amri Airport;Bordj El Amri;Tunisia;DTTI;;;;
Djerba Zarzis International Airport;Djerba;Tunisia;DTTJ;;;;
El Borma Airport;El Borma;Tunisia;DTTR;;;;
Sfax Thyna International Airport;Sfax;Tunisia;DTTX;;;;
Tozeur Nefta International Airport;Tozeur;Tunisia;DTTZ;;;;
Niamtougou International Airport;Niatougou;Togo;DXNG;;;;
Lomé-Tokoin Airport;Lome;Togo;DXXX;;;;
Antwerp International Airport (Deurne);Antwerp;Belgium;EBAW;;;;
Beauvechain Air Base;Beauvechain;Belgium;EBBE;;;;
Kleine Brogel Air Base;Kleine Brogel;Belgium;EBBL;;;;
Brussels Airport;Brussels;Belgium;EBBR;;;;
Jehonville Air Base;Bertrix;Belgium;EBBX;;;;
Brussels South Charleroi Airport;Charleroi;Belgium;EBCI;;;;
Chièvres Air Base;Chievres;Belgium;EBCV;;;;
Koksijde Air Base;Koksijde;Belgium;EBFN;;;;
Florennes Air Base;Florennes;Belgium;EBFS;;;;
